
Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	73	Phool_Aur_Kantey	19-02-2013	Bhanu_Priya	MALE	ANGER	GLASSES	BAD	CHILD	FRONTAL	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	FRONTAL	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	FRONTAL	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	FRONTAL	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	FRONTAL	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	FRONTAL	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
73	Narasimha_Naidu	17937.jpg	TanikelaBharani_49.jpg	240	108	63	Narasimha_Naidu	11-01-2001	Tanikella_Bharani 	MALE	DISGUST	NONE	BAD	MIDDLE	RIGHT	PARTIAL
